Importance,Level,Job Zone,Code,Occupation
84,70,4,17-1022.00,Surveyors
84,67,3,29-2099.08,Patient Representatives
84,66,2,33-9099.02,Retail Loss Prevention Specialists
84,65,4,33-3031.00,Fish and Game Wardens
84,63,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
84,63,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
84,62,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
84,62,4,29-1129.02,Music Therapists
84,61,2,51-8099.01,Biofuels Processing Technicians
84,61,3,29-2056.00,Veterinary Technologists and Technicians
84,56,4,21-1015.00,Rehabilitation Counselors
84,52,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
84,45,2,43-5041.00,"Meter Readers, Utilities"
83,73,4,17-2011.00,Aerospace Engineers
83,71,4,17-1022.01,Geodetic Surveyors
83,70,4,19-1012.00,Food Scientists and Technologists
83,69,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
83,69,5,21-1022.00,Healthcare Social Workers
83,66,3,53-2022.00,Airfield Operations Specialists
83,65,5,19-3093.00,Historians
83,64,4,19-5011.00,Occupational Health and Safety Specialists
83,60,5,19-3033.00,Clinical and Counseling Psychologists
83,59,2,33-9011.00,Animal Control Workers
83,59,4,11-9199.08,Loss Prevention Managers
83,59,3,51-8021.00,Stationary Engineers and Boiler Operators
83,56,2,51-3092.00,Food Batchmakers
83,55,3,29-2057.00,Ophthalmic Medical Technicians
83,54,2,33-3041.00,Parking Enforcement Workers
83,51,4,29-1125.00,Recreational Therapists
83,50,2,53-1042.01,Recycling Coordinators
82,71,5,29-1071.01,Anesthesiologist Assistants
82,69,5,19-2043.00,Hydrologists
82,65,4,13-2011.00,Accountants and Auditors
82,62,5,25-1113.00,"Social Work Teachers, Postsecondary"
82,61,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
82,60,5,17-1011.00,"Architects, Except Landscape and Naval"
82,59,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
82,59,4,19-4061.00,Social Science Research Assistants
82,59,5,29-1131.00,Veterinarians
82,57,3,29-2033.00,Nuclear Medicine Technologists
82,56,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
82,56,2,53-7073.00,Wellhead Pumpers
81,76,3,33-3051.04,Customs and Border Protection Officers
81,73,3,29-2012.00,Medical and Clinical Laboratory Technicians
81,68,5,29-1291.00,Acupuncturists
81,67,5,29-1141.04,Clinical Nurse Specialists
81,66,2,33-3012.00,Correctional Officers and Jailers
81,63,4,17-2199.05,Mechatronics Engineers
81,61,3,17-3027.01,Automotive Engineering Technicians
81,59,5,29-1031.00,Dietitians and Nutritionists
81,58,4,15-1299.03,Document Management Specialists
81,58,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
81,57,4,13-1041.01,Environmental Compliance Inspectors
81,56,5,25-2051.00,"Special Education Teachers, Preschool"
81,53,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
81,51,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
81,51,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
81,43,2,41-2021.00,Counter and Rental Clerks
80,71,4,15-1299.09,Information Technology Project Managers
80,69,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
80,67,5,25-1042.00,"Biological Science Teachers, Postsecondary"
80,66,2,31-1121.00,Home Health Aides
80,66,3,31-9097.00,Phlebotomists
80,66,5,19-1013.00,Soil and Plant Scientists
80,65,4,13-1199.04,Business Continuity Planners
80,63,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
80,63,3,51-8013.04,Hydroelectric Plant Technicians
80,63,3,17-3027.00,Mechanical Engineering Technologists and Technicians
80,62,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
80,61,3,33-2011.00,Firefighters
80,60,3,13-2082.00,Tax Preparers
80,55,3,29-2035.00,Magnetic Resonance Imaging Technologists
80,50,2,51-3093.00,Food Cooking Machine Operators and Tenders
79,77,5,19-2012.00,Physicists
79,72,5,17-2199.09,Nanosystems Engineers
79,72,5,19-2099.01,Remote Sensing Scientists and Technologists
79,71,4,17-2041.00,Chemical Engineers
79,66,3,11-3051.06,Hydroelectric Production Managers
79,65,4,13-1041.03,Equal Opportunity Representatives and Officers
79,63,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
79,61,5,19-3022.00,Survey Researchers
79,60,3,17-3031.00,Surveying and Mapping Technicians
79,59,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
79,59,4,19-1032.00,Foresters
79,59,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
79,58,4,19-1031.00,Conservation Scientists
79,58,4,29-1128.00,Exercise Physiologists
79,55,3,11-9199.09,Wind Energy Operations Managers
79,54,4,17-1021.00,Cartographers and Photogrammetrists
79,54,3,29-1292.00,Dental Hygienists
79,53,5,29-1023.00,Orthodontists
79,48,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
79,47,3,31-9099.01,Speech-Language Pathology Assistants
79,43,3,29-2051.00,Dietetic Technicians
78,74,4,33-3021.06,Intelligence Analysts
78,70,4,17-2141.02,Automotive Engineers
78,67,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
78,65,4,25-2057.00,"Special Education Teachers, Middle School"
78,64,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
78,63,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
78,61,3,29-2032.00,Diagnostic Medical Sonographers
78,61,3,31-9099.02,Endoscopy Technicians
78,61,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
78,59,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
78,58,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
78,58,3,11-9171.00,Funeral Home Managers
78,56,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
78,52,3,29-2092.00,Hearing Aid Specialists
78,49,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
77,67,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
